Model,Macro F1,Weighted F1,F1 Normal,F1 Offensive,F1 Hate Speech
Random Forest,0.7364,0.8892,0.8881,0.9252,0.3959
Logistic Regression,0.721,0.8685,0.8808,0.8992,0.3832
SVM Linear,0.7057,0.8669,0.8631,0.9057,0.3484
Naive Bayes,0.6617,0.8284,0.7427,0.8939,0.3485
