Model,Macro F1,Weighted F1,F1 Normal,F1 Offensive,F1 Hate Speech
Random Forest,0.7319,0.8892,0.8887,0.9261,0.381
Logistic Regression,0.7266,0.8706,0.8813,0.9009,0.3976
SVM Linear,0.7254,0.8823,0.8794,0.9199,0.3769
Naive Bayes,0.5523,0.8145,0.7454,0.8972,0.0143
