Class,Precision,Recall,F1,Support
Normal,0.7497142857142857,0.9507246376811594,0.8383386581469648,1380
Offensive,0.9645347074871173,0.8277835587929241,0.8909421811563769,3844
Hate Speech,0.3333333333333333,0.5431654676258992,0.4131326949384405,278
