Metric,Value
Accuracy,0.8871319520174482
Macro F1,0.7364250398447859
Weighted F1,0.8891853718687333
Hate F1,0.39590443686006827
Hate Recall,0.4172661870503597
Hate Precision,0.37662337662337664
