Class,Precision,Recall,F1,Support
Normal,0.8328015315890236,0.9456521739130435,0.8856464200882254,1380
Offensive,0.953232462173315,0.9014047866805411,0.9265944645006017,3844
Hate Speech,0.4066666666666667,0.43884892086330934,0.42214532871972316,278
