Metric,Value
Accuracy,0.8442384587422755
Macro F1,0.7141378447472607
Weighted F1,0.8536059581608162
Hate F1,0.4131326949384405
Hate Recall,0.5431654676258992
Hate Precision,0.3333333333333333
