Model,Macro F1,Weighted F1,F1 Normal,F1 Offensive,F1 Hate Speech
Logistic Regression,0.7339,0.8869,0.8853,0.9232,0.3932
Random Forest,0.7174,0.8813,0.8698,0.9233,0.3592
SVM Linear,0.7042,0.8699,0.858,0.9123,0.3423
Naive Bayes,0.6572,0.8286,0.7435,0.8949,0.3333
