Model,Macro F1,Weighted F1,F1 Normal,F1 Offensive,F1 Hate,Train F1,Gap
SVM Linear,0.7349,0.8808,0.8722,0.9176,0.4149,0.8892,0.1543
Logistic Regression,0.7336,0.8822,0.8759,0.9188,0.4061,0.89,0.1564
Naive Bayes,0.6486,0.8185,0.7224,0.8879,0.3356,0.8053,0.1567
Random Forest,0.3611,0.6105,0.0925,0.8289,0.162,0.3796,0.0185
