Class,Precision,Recall,F1
Normal,0.8164400494437577,0.9572463768115942,0.8812541694462975
Offensive,0.9685816876122083,0.8420915712799167,0.9009184525466184
Hate Speech,0.3007380073800738,0.5863309352517986,0.3975609756097561
