Model,Macro F1,Weighted F1,F1 Normal,F1 Offensive,F1 Hate,Train F1,Gap
Logistic Regression,0.7216,0.8685,0.8812,0.899,0.3847,0.8907,0.1691
Random Forest,0.7059,0.8505,0.8395,0.8878,0.3904,0.8301,0.1243
SVM Linear,0.7057,0.8667,0.8632,0.9054,0.3484,0.9367,0.231
Naive Bayes,0.662,0.8286,0.7427,0.894,0.3492,0.8125,0.1505
