Metric,Value
Accuracy,0.8838604143947656
Macro F1,0.7383686560098721
Weighted F1,0.886667038369475
F1 Normal,0.8846290379836705
F1 Offensive,0.921980198019802
F1 Hate,0.4084967320261438
Recall Hate,0.44964028776978415
Precision Hate,0.37425149700598803
Train F1,0.8957161410410858
Gap,0.15734748503121365
