Model,Macro F1,Weighted F1,F1 Normal,F1 Offensive,F1 Hate,Train F1,Gap
Logistic Regression,0.7384,0.8867,0.8846,0.922,0.4085,0.8957,0.1573
SVM Linear,0.7063,0.8694,0.8577,0.9111,0.3502,0.9393,0.233
Naive Bayes,0.662,0.8286,0.7427,0.894,0.3492,0.8125,0.1505
Random Forest,0.3512,0.6065,0.0841,0.8277,0.1419,0.3782,0.0269
